normalized_text,label_manual
hoax ale beredar sebuah nomor asing mengaku sebagai menkeu purbaya faktanya itu hoax selalu crosscheck melalui kanal resmi website akun terverifikasi dan call center jangan teipu jangan sebar jangan percaya laporkan nomor mencurigakan pihak,netral
jadi inget vidio pejabat bea cukai yang suruh balik badan didepan orang yang sedah bicara purbaya,netral
ultimatum purbaya anak buah gue sikat tidak ada ampun,negatif
mui urusan bukan itu presiden saja sangat happy dengan pak purbaya mui kacanya kabur,netral
purbaya membawa angin segar bagi dunia investasi indonesia,positif
ini orang paai yang menyerang purbaya,netral
efek purbaya benarbenar terasa ekonomi makin stabil,netral
purbaya membawa angin segar bagi dunia investasi indonesia,positif
efek purbaya benarbenar terasa ekonomi makin stabil,netral
sri mulyani cerdas purbaya cerdas berani dan rasional semoga allah senantiasa memudahkan dan melindunginya,netral
dan pagi ini bagong mendapati harga telur naik lagi jadi ribu terimakasih prabowo terimakasih purbaya terimakasih amran ente sukses,positif
jangan lgsg percaya cuy purbaya mayoritas baru omongan belum banyak tindakan nyata the way itu apbn kok lolos buat mbg tidak bela srimul tidak juga anti purbaya,positif
purbaya betul ksp tetapi dia bukan pejabat yang memegang kendali tanggung jawab purbaya sepei kebanyakan eselon pemrintahan lainnya,netral
ada video perdebatan publik antara menkeu purbaya yudhi sadewa dan menteri esdm bahlil lahadalia soal subsidi lpg dan data energi ini berdasarkan rapat dpr sept dan tanggapan media mereka beemu okt untuk bahas kompensasi bbm cek sumber sepei youtube,netral
mafia itu adalah para pejabat dan mantan pejabat yang terusik dengan pernyataan atau pun kebijakan yang diambil oleh purbaya,netral
sangat wajar yang bayar sesuai perkataan bpk purbaya ialah siluhutdan kroni kroninya jokower brengsek ini wuenak saja negara yang bayar pokoke rezim ugalan dan asalan inilah yang hrs membayar berapapun sampai mati sekalipun seluruh haanya disita untuk negara itu baru adil,netral
jare dikon perbaiki belanja daerah karo purbaya lha iki perbaikan sistem pengelolaan sampah kerja sama ugm,positif
tempatkan purbaya pengamat cara prabowo gebuk jokowi dan geng solo,netral
purbaya bisa benar bisa juga salahtapi sempak merah ini dalam mengkritisi purbaya tidak diseai data dia hanya mengkritisi purbaya dari style bicara purbaya saja kritiknya hampir tidak ada manfaatnya,negatif
kenapa mimpi serumah sama purbaya anj,netral
psi kalah pamor dari prabowo dan purbaya,netral
purbaya melesat purbaya digugat,netral
ini baru bener maju terus pak purbaya,netral
menkeu purbaya sudah berada dijalan yang benar,netral
kan jokowi dan luhut yang bilang awal tidak pake apbnlalu kok mau dibayar apbn skrg mirip dengan ikn juga bener purbaya biar clear dulu karena menkeu bukan juru bayar karena duo maling itu merasa tidak bersalah,negatif
namanya masingmasing bekerja berkelanjutan beahap beahan setiap masa tinggal kini pak purbaya membuktikan karyanya enam bulan depan semoga berhasil,netral
rakyat wajib tahu ini kita wajib dukung dan lindungi pak purbaya,positif
sehatsehat pak purbaya,netral
pak purbaya melawan para bangsat bangsa,netral
rakyat ada dibelakang pak purbaya pak purbaya sudah berada dijalur yang benar,netral
purbaya msh baru dan blom dpt dinilaisetelah thn baru bisa dinilai apakah sama lebih baik atau kurang bandingkan dengan sei mulyani,positif
sepeinya opunglah yang paling marah dengan menkeu purbaya heran juga kenapa sang pembenci ini peahankan bahkan dulu dia menghina prabowo please singkirkan benalu negeri ini pak presiden,netral
tidak pernah ada orang baik dimata dia tidak ada menkeu sebaik pak purbaya setelah marie muhammad meskipun gaya berbeda pak purbaya berdiri paling depan bela kepentingan rakyat kecil kalian orang paai bisa bikin apa bacot doang,positif
misbakhun ingatkan menkeu purbaya tak usah berpolemik dengan kementerian lain,netral
kita lihat sajasiapa yang bakalan bubar duluan purbaya atau satgas,netral
baru bln purbaya jabat menkeu amp belum memasuki apbn sudah tercekik suminto dirjen pengelolaan pembiayaan amp risiko kemenkeu pemerintah akan menerbitkan surat utang negara dim sum bond dalam denominasi yuan china kwaal kontan deja,netral
belum denger ada berita dirjen pajak beacukai ditangkap semenjak purbaya menkeujangan hoax,negatif
kelemahan purbaya sptnya masih pakai data bps untuk aspek peumbuhan ekonomi dan kepuasan masyarakat dan tidak memperhitungkan atau menyepelekan debt factor effect,netral
ada aja gebrakan nya pak purbaya tiap hati,netral
kalau liat pak purbaya itu keinget dosen kampus anjir yang cengar cengir tapi dalemnya killer,netral
pada masa pemerintahan jokowi purbaya keluar dari dana reksa dan kemudian bergabung dengan kantor staf presiden ksp bukan hal baru juga buat purbaya dia juga bagian dari pemerintah pada waktu itu grbong kudu tgg jawab semua,netral
haha sindiran itu lucu tapi mengena yang penting kebijakan fiskal sepei purbayas prioritas lindungi apbn dari utang whoosh yang sudah danantara bela proyek tanpa hitung untungrugi cuma tambah beban negara bukan dukungan cerdas fokus fakta ekonomi biar diskusi lebih,positif
klaim antek asing itu cuma narasi emosional dari yang tak paham prinsip fiskal karena purbaya lindungi apbn dari utang whoosh yang overrun triliun bukan sabotase tapi manajemen risiko proyek jokowi memang ambisius tapi sekarang danantara tanggung sendiri via dividen,netral
kebijakan purbaya bijak untuk jaga kestabilan apbn karena utang whoosh sudah bawah danantara yang punya sumber dividen bumn triliun lebih per tahun ini bukan soal ganti menteri tapi prinsip manajemen risiko fiskal yang solid agar tak tambah beban negara besok atau,netral
menteri purbaya setelah dilantik belum tuntas sehari memantik amarah publik sebuah kalimat dengan tanda petik mereka akan sibuk cari kerja dan makan enak dibandingkan mendemo senyumnya tipis sepei kans ekonomi indonesia lekas pulih amp membaik,positif
kebijakan purbaya realistis untuk lindungi apbn dari utang whoosh triliun yang seharusnya ditangani danantara sendiri termul kesal karena dividen bumn dialihkan bukan lagi subsidi langsung dari kas negara ini cegah beban fiskal beambah meski proyek era sebelumnya,netral
khawatir dor pak purbaya sama termul,netral
purbaya lama lama kek punya buzer dah,netral
saham yang disarankan purbaya bagus,positif
berdasarkan info terkini orang gambar itu adalah purbaya yudhi sadewa menkeu indonesia dia bukan anggota satgas blbi malah mengkritik dan berencana membubarkannya karena dianggap kurang efektif dalam menagih utang negara,netral
berdasarkan data terkini dari wikipedia dan sumber resmi purbaya yudhi sadewa hanya menjabat sebagai menteri keuangan sejak september mengakhiri jabatan sebelumnya sebagai ketua lps pada hari yang sama tanpa tumpang tindih tidak ada indikasi jabatan ganda,netral
sudah diketahui purbaya adalah rival terberat ternak mulyono,netral
bagus kokoh titisan purbaya,positif
dulu takjub banget mendengar anies disogok sekitar milyar hrs bhkn diimingi hingga alhmdulillh keduanya ttp keukeuh tak brgeming kini mulai terkuak ternyata korupsi bangsat itu sgt luar nurul ribuan triliun peinyiinnyi kira purbaya mempan sogok kagak,netral
parahnya parah nih woy pak purbaya mending kau kasih juga intensif perputaran ekonomi anjlok nihh,netral
tingginya salah keknya bahlil tingginya cuma seketeknya pak purbaya dah,negatif
purbaya cuman bapak yang greget ngeliat ekonomi indonesia yang tidak beres jadi doi datang dengan cara ugal ugalan nekat dan bodo amat lah anjirr pada tidak beres pemerintah inii,netral
purbaya,netral
jangan banggakan purbaya sedang diorbitkan dampingi gibran kalau tidak percaya coba lihat masifnya busserp viralkan nama purbaya ini dan semua postingan busserp mengecam pdip bukan paai pemerintah,positif
