"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1977523927539929220","Sun Oct 12 23:56:59 +0000 2025","46"," HOAX ALERT! Beredar sebuah nomor asing mengaku sebagai Menkeu Purbaya. Faktanya: ITU HOAX. Selalu cross-check melalui kanal resmi di website akun terverifikasi dan call center. Jangan Tertipu. Jangan Sebar. Jangan Percaya. Laporkan nomor mencurigakan ke pihak https://t.co/jKug3AF2x3","1977523927539929220","https://pbs.twimg.com/media/G3GTh3ma8AEyoLc.jpg","","in","","0","8","6","https://x.com/undefined/status/1977523927539929220","1353570546869440512",
"1977286675383619611","Sun Oct 12 23:52:01 +0000 2025","0","@mr_banan12 Jadi inget vidio pejabat Bea cukai yg di suruh balik badan. Didepan orang yg sedah bicara ke Purbaya.","1977522678295851250","","mr_banan12","in","","0","0","0","https://x.com/undefined/status/1977522678295851250","2468642390",
"1977522101767782544","Sun Oct 12 23:49:44 +0000 2025","2","Ultimatum Purbaya ke Anak Buah: Gue Sikat Lu Gak Ada Ampun! https://t.co/ymFXgdjiEI","1977522101767782544","","","in","","0","1","1","https://x.com/undefined/status/1977522101767782544","165242082",
"1976815318850060316","Sun Oct 12 23:42:49 +0000 2025","0","@Giiselje Ha ha MUI urusan mu bukan itu presiden saja sangat happy dgn pak Purbaya .MUI kacanya kabur","1977520362368942236","","Giiselje","in","","0","0","0","https://x.com/undefined/status/1977520362368942236","1480011741983490051",
"1976701751932899809","Sun Oct 12 23:40:51 +0000 2025","0","@TasyaFebri18 Purbaya membawa angin segar bagi dunia investasi Indonesia.","1977519868527378833","","TasyaFebri18","in","","0","0","0","https://x.com/undefined/status/1977519868527378833","1830891569588903937",
"1977519864429621602","Sun Oct 12 23:40:50 +0000 2025","15","Ini orang2 partai yg menyerang Purbaya https://t.co/UMXmRsima0","1977519864429621602","https://pbs.twimg.com/media/G3GP1lEaUAEuCuO.jpg","","in","","1","2","4","https://x.com/undefined/status/1977519864429621602","1296312516901916672",
"1976701751932899809","Sun Oct 12 23:40:47 +0000 2025","0","@TasyaFebri18 Efek Purbaya benar-benar terasa ekonomi makin stabil!","1977519850458374277","","TasyaFebri18","in","","0","0","0","https://x.com/undefined/status/1977519850458374277","1830891569588903937",
"1976701002201153781","Sun Oct 12 23:40:43 +0000 2025","0","@TasyaFebri18 Purbaya membawa angin segar bagi dunia investasi Indonesia.","1977519834801021297","","TasyaFebri18","in","","0","0","0","https://x.com/undefined/status/1977519834801021297","1830891569588903937",
"1976701002201153781","Sun Oct 12 23:40:39 +0000 2025","0","@TasyaFebri18 Efek Purbaya benar-benar terasa ekonomi makin stabil!","1977519818149605409","","TasyaFebri18","in","","0","0","0","https://x.com/undefined/status/1977519818149605409","1830891569588903937",
"1976700971989487666","Sun Oct 12 23:40:35 +0000 2025","0","@TasyaFebri18 Purbaya membawa angin segar bagi dunia investasi Indonesia.","1977519801825481127","","TasyaFebri18","in","","0","0","0","https://x.com/undefined/status/1977519801825481127","1830891569588903937",
