id_str,created_at,full_text,normalized_text,favorite_count,reply_count,retweet_count,full_text_no_hashtag
1977523927539929220,Sun Oct 12 23:56:59 +0000 2025, HOAX ALERT! Beredar sebuah nomor asing mengaku sebagai Menkeu Purbaya. Faktanya: ITU HOAX. Selalu cross-check melalui kanal resmi di website akun terverifikasi dan call center. Jangan Tertipu. Jangan Sebar. Jangan Percaya. Laporkan nomor mencurigakan ke pihak https://t.co/jKug3AF2x3,hoax ale beredar sebuah nomor asing mengaku sebagai menkeu purbaya faktanya itu hoax selalu crosscheck melalui kanal resmi website akun terverifikasi dan call center jangan teipu jangan sebar jangan percaya laporkan nomor mencurigakan pihak,46,8,6,HOAX ALERT! Beredar sebuah nomor asing mengaku sebagai Menkeu Purbaya. Faktanya: ITU HOAX. Selalu cross-check melalui kanal resmi di website akun terverifikasi dan call center. Jangan Tertipu. Jangan Sebar. Jangan Percaya. Laporkan nomor mencurigakan ke pihak https://t.co/jKug3AF2x3
1977522678295851250,Sun Oct 12 23:52:01 +0000 2025,@mr_banan12 Jadi inget vidio pejabat Bea cukai yg di suruh balik badan. Didepan orang yg sedah bicara ke Purbaya.,jadi inget vidio pejabat bea cukai yang suruh balik badan didepan orang yang sedah bicara purbaya,0,0,0,@mr_banan12 Jadi inget vidio pejabat Bea cukai yg di suruh balik badan. Didepan orang yg sedah bicara ke Purbaya.
1977522101767782544,Sun Oct 12 23:49:44 +0000 2025,Ultimatum Purbaya ke Anak Buah: Gue Sikat Lu Gak Ada Ampun! https://t.co/ymFXgdjiEI,ultimatum purbaya anak buah gue sikat tidak ada ampun,2,1,1,Ultimatum Purbaya ke Anak Buah: Gue Sikat Lu Gak Ada Ampun! https://t.co/ymFXgdjiEI
1977520362368942236,Sun Oct 12 23:42:49 +0000 2025,@Giiselje Ha ha MUI urusan mu bukan itu presiden saja sangat happy dgn pak Purbaya .MUI kacanya kabur,mui urusan bukan itu presiden saja sangat happy dengan pak purbaya mui kacanya kabur,0,0,0,@Giiselje Ha ha MUI urusan mu bukan itu presiden saja sangat happy dgn pak Purbaya .MUI kacanya kabur
1977519868527378833,Sun Oct 12 23:40:51 +0000 2025,@TasyaFebri18 Purbaya membawa angin segar bagi dunia investasi Indonesia.,purbaya membawa angin segar bagi dunia investasi indonesia,0,0,0,@TasyaFebri18 Purbaya membawa angin segar bagi dunia investasi Indonesia.
1977519864429621602,Sun Oct 12 23:40:50 +0000 2025,Ini orang2 partai yg menyerang Purbaya https://t.co/UMXmRsima0,ini orang paai yang menyerang purbaya,15,2,4,Ini orang2 partai yg menyerang Purbaya https://t.co/UMXmRsima0
1977519850458374277,Sun Oct 12 23:40:47 +0000 2025,@TasyaFebri18 Efek Purbaya benar-benar terasa ekonomi makin stabil!,efek purbaya benarbenar terasa ekonomi makin stabil,0,0,0,@TasyaFebri18 Efek Purbaya benar-benar terasa ekonomi makin stabil!
1977519651447037965,Sun Oct 12 23:40:00 +0000 2025,@GhifaryRah68255 Purbaya membawa angin segar bagi dunia investasi Indonesia.,purbaya membawa angin segar bagi dunia investasi indonesia,0,0,0,@GhifaryRah68255 Purbaya membawa angin segar bagi dunia investasi Indonesia.
1977519634913153148,Sun Oct 12 23:39:56 +0000 2025,@GhifaryRah68255 Efek Purbaya benar-benar terasa ekonomi makin stabil!,efek purbaya benarbenar terasa ekonomi makin stabil,0,0,0,@GhifaryRah68255 Efek Purbaya benar-benar terasa ekonomi makin stabil!
1977519469267435648,Sun Oct 12 23:39:16 +0000 2025,Sri Mulyani cerdas - Purbaya cerdas berani dan rasional .... semoga Allah senantiasa memudahkan dan melindunginya,sri mulyani cerdas purbaya cerdas berani dan rasional semoga allah senantiasa memudahkan dan melindunginya,0,0,0,Sri Mulyani cerdas - Purbaya cerdas berani dan rasional .... semoga Allah senantiasa memudahkan dan melindunginya
